0,"⠀📌탕화쿵푸마라탕 (연신내)⠀•요즘 연신내에 마라탕집이 많지만 처음 가본 탕화쿵푸❣️⠀•마라탕 매운맛 9,700원: 맵기 단계는 담백한맛, 순한맛, 매운맛, 아주매운맛이 있었다🤗⠀매운맛을 먹었는데 내 기준 살짝 매콤해서 다음 방문에는 아주매운맛 먹어도 될 것 같다❤️❤️❤️마라맛이 너무 세지 않고 딱 적당해서 좋았다🥰마라 초보들도 무난히 먹을 수 있을 것 같다!⠀재료들도 다 싱싱하고 깨끗하게 진열되어 있어서 마음 놓고 먹을 수 있을듯🧡"
1,2021-04-29
2,342
3,연신내
4,[]
,0
0,마라🔫🔫🔫마라탕은 먹되인생은 마라 먹지말ㅈr..★
1,2021-04-01
2,283
3,
4,[]
,0
0,☆어제의 메뉴☆..마라탕..친구를 마라탕에 입문시키니 이젠 먼저 연락이 와서 좋다. 혈중마라농도 못참지... 만나면 기본이 소주 2~3병씩인데 맥주 1병씩먹은게 레전드!..#마라탕 #시흥 #은계 #탕화쿵푸 #탕화쿵푸은계점 #시흥시맛집 #시흥맛집 #맥주 #병맥주 #저녁 #안주 #먹스타그램 #먹스타맞팔 #먹팔 #맞팔 #선팔 #팔로우 #좋아요 #좋반 #좋반테러
1,2021-04-08
2,194
3,
4,"['#마라탕', '#시흥', '#은계', '#탕화쿵푸', '#탕화쿵푸은계점', '#시흥시맛집', '#시흥맛집', '#맥주', '#병맥주', '#저녁', '#안주', '#먹스타그램', '#먹스타맞팔', '#먹팔', '#맞팔', '#선팔', '#팔로우', '#좋아요', '#좋반', '#좋반테러']"
,0
0,오랜만에 마라탕을 먹었어용🤍🤍다들 마라탕에 어떤재료 넣는거 좋아하시나요?? 전 마라탕에 분모자 꼭 꼭 꼭!!!!!무조건 추가 ㅎㅎㅎㅎ 분모자 쫀득함 너무 좋아용ㅎ마라탕에 꿔바로우 조합 최고인거 아시죵??!?📍청주 천미마라탕 (배달)-신라면맵기(1단계) 맵찔이인 전 1단계도 넘 매웠지만...맛있게 잘먹었읍니다..ㅎㅎ 원래 마라탕은 매워야됨 ㅇㅇ 암 ㅇㅇ(넘 매워서 우유랑 같이먹은건 비밀. 먹다가 코로넘어가서 코 아파죽을뻔한것도 🤫 비밀)#청주맛집#마라탕#천미마라탕#청주#먹스타#먹스타그램#먹방#먹스타맞팔#먹스타그램🍴#먹팔 #먹부림 #팔로우#좋아요#댓글#food##먹방스타그램#먹방투어🍴
1,2021-05-08
2,104
3,Cheongju
4,"['#청주맛집', '#마라탕', '#천미마라탕', '#청주', '#먹스타', '#먹스타그램', '#먹방', '#먹스타맞팔', '#먹스타그램🍴', '#먹팔', '#먹부림', '#팔로우', '#좋아요', '#댓글', '#food', '#먹방스타그램', '#먹방투어🍴']"
,0
0,"마라탕집 장점이자 단점 얼마 나올지 모른다는 거 ;; 혼자 마라탕 먹는데 30,000원 나온 사람 나야나 나야나 분모자가 너무 땡겨서 5지게 담았더니 🙉요즘 많이 먹고 돌아다녀서 하나씩 사진 끼워넣기 ; 얼짱쭈꾸미 대 졸맛탱 라면사리 넣어주면 완전 자극적 == 내 스타일코난 극장판 보신 분 ㅎㅅㅎ 어제 막차 타고 왔습니다 ㅎㅅㅎ 아카이 슈이치랑 코난은 말이 필요없고 슈키치 💦 내 이상형 이제 장기 잘 두는 사람 #코난하이바라랑사귀자제발"
1,2021-05-05
2,545
3,부산
4,['#코난하이바라랑사귀자제발']
